cfg,epoch,key,label,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),run_dir,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss
ultralytics/cfg/models/master/v0_10/det/yolo-master-n.yaml,50,v10,YOLO-Master v0.10 baseline,0.22706,0.12492,0.32125,0.24908,$YOLO_ISSUE53_ROOT/runs/issue53_visdrone_3090_noamp/v10,1.53294,1.1853,0.9685,1.57671,1.21753,0.97121
ultralytics/cfg/models/master/v0_10/det/yolo-master-moa-n.yaml,50,v10_moa,YOLO-Master v0.10 MoA,0.22893,0.12574,0.32205,0.25108,$YOLO_ISSUE53_ROOT/runs/issue53_visdrone_3090_noamp/v10_moa,1.54277,1.19281,0.97266,1.58828,1.22302,0.97635
